,Month_ending,Year,County,State,Primary_use,Battery_BEVs,Hybrid_(PHEVs),EV_Total,Non-Electric_Total,Total_Veh,%_Electric,Proximity,State_Names
425,April,2019,Charleston,SC,Passenger,1,0,1,119,120,0.83,Furthest,South Carolina
426,April,2019,Arlington,VA,Passenger,1,2,3,160,163,1.84,Furthest,Virginia
427,April,2019,Dale,AL,Passenger,0,1,1,56,57,1.75,Furthest,Alabama
430,April,2019,Allegheny,PA,Passenger,1,0,1,84,85,1.18,Furthest,Pennsylvania
431,April,2019,San Joaquin,CA,Passenger,1,0,1,133,134,0.75,Nearest,California
432,April,2019,Sedgwick,KS,Passenger,0,1,1,102,103,0.97,Mid-Distance,Kansas
433,April,2019,Washtenaw,MI,Passenger,1,0,1,37,38,2.63,Furthest,Michigan
434,April,2019,Bucks,PA,Passenger,1,0,1,17,18,5.56,Furthest,Pennsylvania
437,April,2019,Duval,FL,Passenger,1,2,3,382,385,0.78,Furthest,Florida
439,April,2019,San Diego,CA,Passenger,10,3,13,2654,2667,0.49,Nearest,California
441,April,2019,Ventura,CA,Passenger,0,2,2,311,313,0.64,Nearest,California
442,April,2019,Kern,CA,Passenger,0,1,1,225,226,0.44,Nearest,California
443,April,2019,Montgomery,MD,Passenger,1,0,1,272,273,0.37,Furthest,Maryland
444,April,2019,Palm Beach,FL,Passenger,0,1,1,92,93,1.08,Furthest,Florida
445,April,2019,Caddo,LA,Passenger,0,1,1,23,24,4.17,Mid-Distance,Louisiana
446,April,2019,Charles,MD,Passenger,0,1,1,82,83,1.2,Furthest,Maryland
447,April,2019,DeKalb,GA,Passenger,1,0,1,80,81,1.23,Furthest,Georgia
448,April,2019,Alexandria,VA,Passenger,1,0,1,154,155,0.65,Furthest,Virginia
449,April,2019,Multnomah,OR,Passenger,4,5,9,749,758,1.19,Nearest,Oregon
450,April,2019,St. Lucie,FL,Passenger,1,0,1,30,31,3.23,Furthest,Florida
452,April,2019,Bexar,TX,Passenger,3,4,7,677,684,1.02,Mid-Distance,Texas
453,April,2019,Montgomery,AL,Passenger,0,1,1,44,45,2.22,Furthest,Alabama
454,April,2019,Shasta,CA,Passenger,1,0,1,40,41,2.44,Nearest,California
455,April,2019,Sumter,FL,Passenger,0,1,1,10,11,9.09,Furthest,Florida
456,April,2019,Richmond,GA,Passenger,0,1,1,93,94,1.06,Furthest,Georgia
457,April,2019,Los Angeles,CA,Passenger,8,5,13,1095,1108,1.17,Nearest,California
458,April,2019,Orange,CA,Passenger,6,1,7,529,536,1.31,Nearest,California
459,April,2019,Harnett,NC,Passenger,1,1,2,214,216,0.93,Furthest,North Carolina
461,April,2019,Cascade,MT,Passenger,0,1,1,58,59,1.69,Nearest,Montana
465,April,2019,Santa Rosa,FL,Passenger,1,0,1,87,88,1.14,Furthest,Florida
466,April,2019,Deschutes,OR,Passenger,2,0,2,154,156,1.28,Nearest,Oregon
467,April,2019,Santa Fe,NM,Passenger,0,1,1,40,41,2.44,Mid-Distance,New Mexico
468,April,2019,Broward,FL,Passenger,2,1,3,128,131,2.29,Furthest,Florida
469,April,2019,Penobscot,ME,Passenger,0,1,1,13,14,7.14,Furthest,Maine
471,April,2019,Sangamon,IL,Passenger,2,0,2,7,9,22.22,Mid-Distance,Illinois
475,April,2019,Dakota,MN,Passenger,0,2,2,36,38,5.26,Mid-Distance,Minnesota
478,April,2019,Fresno,CA,Passenger,1,0,1,187,188,0.53,Nearest,California
479,April,2019,Volusia,FL,Passenger,0,1,1,36,37,2.7,Furthest,Florida
481,April,2019,Howard,MD,Passenger,0,1,1,77,78,1.28,Furthest,Maryland
482,April,2019,Richland,SC,Passenger,0,1,1,161,162,0.62,Furthest,South Carolina
